,best_f1,best_c,best_depth,var_smoothing,clf,time,max_features,min_dfs,max_dfs,ngram_ranges
0,0.49728195024996397,1.6681005372000592,-1.0,-1.0,logreg,17.03645019999999,10000.0,1.0,0.9,"(1, 1)"
1,0.4961275895441849,0.04641588833612782,-1.0,-1.0,svm,68.15612779999992,10000.0,1.0,0.9,"(1, 1)"
2,0.5060327351055962,-1.0,-1.0,-1.0,nb,0.11834220000002915,10000.0,1.0,0.9,"(1, 1)"
3,0.5206824046683873,1.6681005372000592,-1.0,-1.0,logreg,17.082615000000033,10000.0,1.0,0.9,"(1, 2)"
4,0.5210756344968178,0.04641588833612782,-1.0,-1.0,svm,42.36431010000001,10000.0,1.0,0.9,"(1, 2)"
5,0.5450059560393414,-1.0,-1.0,-1.0,nb,0.11666059999993195,10000.0,1.0,0.9,"(1, 2)"
6,0.40629111718779976,0.2782559402207126,-1.0,-1.0,logreg,10.72150499999998,10000.0,1.0,0.9,"(2, 3)"
7,0.4021124714891591,0.007742636826811269,-1.0,-1.0,svm,20.518385999999964,10000.0,1.0,0.9,"(2, 3)"
8,0.37364402870422114,-1.0,-1.0,-1.0,nb,0.07696420000002036,10000.0,1.0,0.9,"(2, 3)"
9,0.5136773075869753,0.2782559402207126,-1.0,-1.0,logreg,17.080728900000167,10000.0,1.0,0.9,"(1, 3)"
10,0.5130348262434712,0.04641588833612782,-1.0,-1.0,svm,43.238265800000136,10000.0,1.0,0.9,"(1, 3)"
11,0.5382344327528982,-1.0,-1.0,-1.0,nb,0.10912559999997029,10000.0,1.0,0.9,"(1, 3)"
12,0.4945022190315055,1.6681005372000592,-1.0,-1.0,logreg,16.328331700000035,10000.0,1.0,0.8,"(1, 1)"
13,0.4951481657210458,0.04641588833612782,-1.0,-1.0,svm,61.061782900000026,10000.0,1.0,0.8,"(1, 1)"
14,0.4993278469560061,-1.0,-1.0,-1.0,nb,0.101447300000018,10000.0,1.0,0.8,"(1, 1)"
15,0.5165090684830258,0.2782559402207126,-1.0,-1.0,logreg,17.89825730000007,10000.0,1.0,0.8,"(1, 2)"
16,0.515562656611424,0.04641588833612782,-1.0,-1.0,svm,42.44001739999999,10000.0,1.0,0.8,"(1, 2)"
17,0.5400036827227049,-1.0,-1.0,-1.0,nb,0.10866329999998925,10000.0,1.0,0.8,"(1, 2)"
18,0.40793407175402707,0.2782559402207126,-1.0,-1.0,logreg,10.82634199999984,10000.0,1.0,0.8,"(2, 3)"
19,0.4038606745138802,0.007742636826811269,-1.0,-1.0,svm,20.388441000000057,10000.0,1.0,0.8,"(2, 3)"
20,0.3652650980953568,-1.0,-1.0,-1.0,nb,0.07571250000000873,10000.0,1.0,0.8,"(2, 3)"
